Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
10-Feb-23,7178.85,7183.15,7136.9,7169.15,-0.14%,40493055,1804.79
13-Feb-23,7158.75,7172.75,7106.95,7137.95,-0.29%,44255244,1949.64
14-Feb-23,7117.25,7179.2,7089.85,7171.55,0.76%,52617730,2567.84
15-Feb-23,7136.45,7204.1,7130.25,7194.35,0.81%,51571914,4439.31
16-Feb-23,7212.7,7282.8,7195.4,7220.75,0.11%,80183818,3799.4
17-Feb-23,7192.65,7241.35,7176.55,7231.65,0.54%,69764531,2462.41
20-Feb-23,7227.25,7232.9,7137.8,7149.15,-1.08%,45229379,1727.38
21-Feb-23,7150.6,7164.3,7117.9,7125,-0.36%,39584276,2182.21
22-Feb-23,7084.8,7091.8,7009.4,7025.85,-0.83%,53030659,2083.07
23-Feb-23,7022.4,7052.65,6979.45,7013.8,-0.12%,87252976,2383.64
24-Feb-23,7018.05,7078.5,6999.75,7067.75,0.71%,84749992,2214.51
27-Feb-23,7045.55,7055.65,6987.7,7036,-0.14%,67449182,2193.37
28-Feb-23,6996.2,7013.3,6922.85,6941.65,-0.78%,76101698,3538.05
01-Mar-23,6949.2,7019.7,6937.85,7015.2,0.95%,53638966,2590.32
02-Mar-23,7008.5,7045.55,6996.35,7017.65,0.13%,46228739,2005.06
03-Mar-23,7074.7,7132.75,7063.55,7111.25,0.52%,62837188,2707.2
06-Mar-23,7153.4,7278.4,7149.35,7247.75,1.32%,91561450,3182.27
08-Mar-23,7248.9,7311.25,7225.65,7306.6,0.8%,74034821,3213.57
09-Mar-23,7334.5,7336.65,7230.45,7239.9,-1.29%,56839525,2858.47
10-Mar-23,7206.4,7234.7,7152.45,7225.6,0.27%,56475712,2463.44
13-Mar-23,7259.35,7286.35,7144.45,7164.3,-1.31%,61118372,2370.5
14-Mar-23,7145.05,7181.9,7102.05,7117.3,-0.39%,64199744,2759.64
15-Mar-23,7133.9,7148.95,7058.35,7076.5,-0.8%,66329643,3769.47
16-Mar-23,7074.7,7168.8,7015.85,7114.35,0.56%,128659149,4258.46
17-Mar-23,7169.15,7188,7089.65,7117.45,-0.72%,111153234,5277.36
20-Mar-23,7105.4,7112.9,7048.25,7079.1,-0.37%,83047337,3324.56
21-Mar-23,7118.55,7176.45,7082.5,7169.2,0.71%,75950960,3604.46
22-Mar-23,7203.6,7208,7163.7,7178.9,-0.34%,68211584,2256.93
23-Mar-23,7168.75,7198.95,7144.45,7169.9,0.02%,52741889,2665.68
24-Mar-23,7180.3,7189.8,7052.55,7068.1,-1.56%,51569676,2472.83
27-Mar-23,7082.5,7121.95,7051.4,7064.35,-0.26%,39702523,2196.71
28-Mar-23,7053.65,7059.15,6990.15,7031.45,-0.31%,42472103,2000.95
29-Mar-23,7001.1,7053.25,6973.7,7026.5,0.36%,73266816,3240.19
31-Mar-23,7080.1,7201.35,7076.85,7148.85,0.97%,63757108,3998.65
03-Apr-23,7179.55,7187.15,7103.65,7117.45,-0.86%,84404546,2905.23
05-Apr-23,7172.1,7173.4,7087.9,7120.05,-0.73%,58116351,2944.33
06-Apr-23,7133.35,7180.65,7115.15,7166.15,0.46%,49230928,2995.03
10-Apr-23,7193.05,7246.15,7185.1,7221.2,0.39%,59587863,2738.13
11-Apr-23,7244.5,7294.2,7238.65,7288.35,0.61%,42445132,1957.22
12-Apr-23,7314.15,7327.55,7273.3,7301.65,-0.17%,55208726,3220.66
13-Apr-23,7324.55,7332.8,7260.4,7279.2,-0.62%,61330852,2517.61
17-Apr-23,7359,7359,7273.9,7348.65,-0.14%,50169242,2823.96
18-Apr-23,7361.9,7367.5,7301.35,7328.9,-0.45%,44758404,2062.51
19-Apr-23,7317.3,7351.1,7298.85,7344.6,0.37%,51501378,2283.66
20-Apr-23,7358.15,7365.55,7309.05,7326.85,-0.43%,41060848,1447.46
21-Apr-23,7339.55,7350.9,7307.6,7336.4,-0.04%,27739505,1335.97
24-Apr-23,7366.6,7379.35,7336.2,7352.4,-0.19%,37382373,2037.09
25-Apr-23,7363.7,7419.45,7354.5,7404.7,0.56%,39959636,1770.13
26-Apr-23,7407.85,7418.15,7364.95,7402.35,-0.07%,47101962,1980.01
27-Apr-23,7411,7435.05,7394.6,7428.2,0.23%,50310036,1829.22
28-Apr-23,7446.75,7498.8,7381.2,7491.8,0.6%,68245732,2885.79
02-May-23,7528,7595.45,7523.4,7578.4,0.67%,56943905,2462.18
03-May-23,7580.8,7583.45,7514.75,7520.1,-0.8%,48202584,1701.41
04-May-23,7517.6,7557.05,7491.7,7548.65,0.41%,61211177,2092.29
05-May-23,7544,7567.75,7499.1,7508.6,-0.47%,32805198,1554.77
08-May-23,7503.45,7568.95,7494.9,7559.8,0.75%,38704372,1794.75
09-May-23,7554.8,7618.25,7552.5,7573.75,0.25%,54988241,2529.09
10-May-23,7594.95,7640.3,7570.45,7634.55,0.52%,55613893,2611.96
11-May-23,7650.3,7686.4,7629.65,7636.5,-0.18%,50143396,2522.75
12-May-23,7606,7612.35,7547.45,7568.4,-0.49%,47565969,1966.35
15-May-23,7580.1,7590.95,7530.1,7568.05,-0.16%,48069519,1879.78
16-May-23,7599.1,7622.95,7546.75,7554.4,-0.59%,99382728,2563.07
