Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
04-Apr-18,8716.35,8732.05,8545.65,8569.5,-1.68%,13686740,881.56
05-Apr-18,8637.55,8732.95,8621.15,8655.65,0.21%,11205688,756.96
06-Apr-18,8657.95,8808.55,8643.9,8772.4,1.32%,17633926,1252.74
09-Apr-18,8785.85,8841.55,8721.05,8738.15,-0.54%,12355459,830
10-Apr-18,8763.2,8816.8,8698.75,8719.6,-0.5%,11657255,863.22
11-Apr-18,8752.95,8789.25,8691.65,8761.8,0.1%,13136133,843.85
12-Apr-18,8752.6,8752.6,8669.2,8685.05,-0.77%,13901163,960.03
13-Apr-18,8694.7,8787.1,8678.05,8730.6,0.41%,11270888,799.56
16-Apr-18,8707.9,8877.1,8696.25,8867.2,1.83%,18147927,1217.74
17-Apr-18,8890.6,8893.95,8803.45,8827.75,-0.71%,12894421,866.23
18-Apr-18,8858.75,8904.1,8772.8,8790,-0.78%,11763561,797.6
19-Apr-18,8833.15,8848.15,8768.9,8829.75,-0.04%,11081606,753.93
20-Apr-18,8813.4,8846.35,8769.35,8819.8,0.07%,12865608,826.89
23-Apr-18,8781.1,8976.8,8781.1,8949.9,1.92%,15842034,1072.05
24-Apr-18,8988.7,9092.7,8950.2,8984.15,-0.05%,22448320,1581.57
25-Apr-18,8964.2,8973.45,8859.8,8901.15,-0.7%,8893915,615.98
26-Apr-18,8914.4,8996.55,8883.1,8896.6,-0.2%,16707318,1263.66
27-Apr-18,8955.75,9022.05,8914.65,8987.4,0.35%,13447849,928.73
30-Apr-18,9030.45,9090.85,9017.95,9060.7,0.33%,8238921,581.75
02-May-18,9086.95,9110.55,8921.75,8961.05,-1.39%,12638019,802.04
03-May-18,8968.7,8977.7,8796.85,8966.3,-0.03%,15587036,954.7
04-May-18,8962,8963.85,8801.6,8817.45,-1.61%,11785618,772.01
07-May-18,8828.75,8848.35,8674.2,8774.4,-0.62%,11996794,802.62
08-May-18,8812.95,8882.35,8734.95,8753.25,-0.68%,9014834,631.16
09-May-18,8754.05,8766.05,8693.5,8704.1,-0.57%,8414007,556.51
10-May-18,8724.1,8734.35,8518.7,8544.95,-2.05%,13753974,911.12
11-May-18,8555.4,8565.45,8403.35,8445.7,-1.28%,18014955,1121.57
14-May-18,8458.35,8598.05,8438,8462.05,0.04%,14936711,967.29
15-May-18,8449.5,8520.55,8313,8401.15,-0.57%,18459590,1208.4
16-May-18,8383.2,8425.1,8287.1,8399.1,0.19%,16479599,1032.84
17-May-18,8417,8461.25,8328.85,8403,-0.17%,15794190,1008.11
18-May-18,8441.7,8443.75,8195.35,8211.85,-2.72%,20313069,1175.24
