Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
09-Feb-23,45776.35,46012.1,45614.2,45671.25,-0.23%,19320917,1450.98
10-Feb-23,45521.1,45716.1,45303.4,45488.1,-0.07%,19203614,1598.66
13-Feb-23,45477.8,45590.5,45255.7,45508.4,0.07%,17093168,1285.9
14-Feb-23,45595.4,46078.7,45503.1,45976.95,0.84%,37902401,2303.45
15-Feb-23,45625.35,45845.7,45361.95,45799.2,0.38%,21072203,1625.98
16-Feb-23,45914.1,45979,45657.8,45758.2,-0.34%,17795017,1721.55
17-Feb-23,45628.8,45756.45,45401.75,45617.3,-0.03%,15368795,1593.22
20-Feb-23,45726,45900.45,45389.3,45501.2,-0.49%,16435544,1401.8
21-Feb-23,45675.4,45820.4,45485.4,45551.95,-0.27%,17945711,1427.31
22-Feb-23,45538.4,45577.75,45329.15,45412.85,-0.28%,17332126,1342.6
23-Feb-23,45440.3,45956.1,45209.1,45530.1,0.2%,29256216,1857.31
24-Feb-23,45656.15,45672.35,45154.55,45372.5,-0.62%,19985786,1389.45
27-Feb-23,45377.75,45384.9,44733.45,45040.75,-0.74%,15999116,1236.77
28-Feb-23,45082,45261.75,44667.1,44940.45,-0.31%,31197643,2469.95
01-Mar-23,44830.55,45149,44830.55,45062.55,0.52%,18352491,1597.12
02-Mar-23,45128.65,45149.85,44729.35,44831.6,-0.66%,11931946,997.28
03-Mar-23,44985.7,45471.65,44964.55,45410,0.94%,16602551,1414.69
06-Mar-23,45529.25,45772.05,45427.05,45552.1,0.05%,19542336,1721.74
08-Mar-23,45469.65,45812.95,45282.25,45722,0.55%,18446966,1539.55
09-Mar-23,45724.7,45767.9,45181.15,45260.45,-1.02%,17956373,1457.98
10-Mar-23,45138.95,45398.65,44933.45,45334.75,0.43%,15472872,1208.51
13-Mar-23,45351.5,45555.7,44861.35,44953.6,-0.88%,18110986,1438.84
14-Mar-23,45068.05,45121.15,44628.05,44714.95,-0.78%,20930410,1569.35
15-Mar-23,44873.1,45047.65,44396.9,44464.35,-0.91%,20482469,1790.95
16-Mar-23,44575.9,45021.7,44447.8,44971.2,0.89%,28838041,2250.38
17-Mar-23,45232.35,45242.4,44573,44858.3,-0.83%,64585305,3818.49
20-Mar-23,44704.2,45259.5,44392.05,45213.05,1.14%,18370042,1526.91
21-Mar-23,45282.05,45306.35,44806.75,44913.4,-0.81%,20194811,1661.6
22-Mar-23,45027.7,45140.2,44828.5,45109.5,0.18%,15491575,1162.22
23-Mar-23,45056.95,45434.3,44876.15,45267.45,0.47%,20090367,1599.28
24-Mar-23,45229.15,45412.95,44990.05,45060,-0.37%,18882876,1521.54
27-Mar-23,45093.25,45434.1,44918.35,45188,0.21%,22198219,1708.84
28-Mar-23,45215.2,45342.85,44987,45044.25,-0.38%,19874607,1481.73
29-Mar-23,45051.1,45523.45,44989.2,45421.65,0.82%,24611372,2306.9
31-Mar-23,45583.1,45958.5,45435.9,45904.9,0.71%,20700681,2026.61
03-Apr-23,46053.65,46053.65,45530.35,45738.45,-0.68%,16946646,1499.72
05-Apr-23,45662.85,46413.25,45626.2,46361.25,1.53%,24715588,2146.24
06-Apr-23,46347.25,46353.7,46023.3,46109.15,-0.51%,24509751,1782.77
10-Apr-23,46107.4,46161.05,45843.35,45909.65,-0.43%,15323143,1224.19
11-Apr-23,46001.4,46330.05,45950.4,46269.7,0.58%,29483279,1962.53
12-Apr-23,46380.95,46401,46008.8,46112.6,-0.58%,20772024,1678.79
13-Apr-23,46179.55,46449.4,46118.9,46211.95,0.07%,21041989,1700.18
17-Apr-23,46331.9,46801.35,46220.35,46688.6,0.77%,21905868,2294.87
18-Apr-23,46756.3,46765.55,46437.4,46536.35,-0.47%,21540503,1978.04
19-Apr-23,46475.95,46539.65,46230.6,46421.45,-0.12%,21840290,1953.83
20-Apr-23,46404.5,46616,46156.1,46256.05,-0.32%,18634470,1579.83
